title,series_launch_year,season_count,total,average,1s,2s,3s,4s,5s
07Ghost,2011,1,2339,4.5,56,62,136,523,1.6
11eyes,2009,1,3515,4,321,185,450,887,1.7
16bitSensation:AnotherLayer,2023,1,1508,4.5,92,37,70,188,1.1
18if,2017,1,438,3.4,84,42,88,74,150
2.43:SeiinHighSchoolBoysVolleyballTeam,2022,1,1105,4.1,62,47,125,306,565
86EIGHTY-SIX,2021,1,52155,4.9,346,186,525,2,49
91Days,2016,1,6034,4.7,76,76,257,917,4.7
\u003cDOGEZA\u003eITriedAskingWhileKowtowing.,2020,1,975,3,357,62,128,74,354
ABridgetotheStarrySkies-HoshizoraeKakaruHashi,2011,1,2108,4.4,73,59,188,486,1.3
ACentaur'sLife,2017,1,1730,3.8,231,116,238,386,759
ACertainMagicalIndex,2022,1,3775,4.4,148,113,345,727,2.4
ACertainScientificAccelerator,2019,1,2480,4.5,61,49,164,417,1.8
ACertainScientificRailgun,2022,1,3281,4.7,76,38,124,408,2.6
ACoupleofCuckoos,2022,1,27478,4.5,862,631,1.7,4.3,20.1
ADestructiveGodSitsNexttoMe,2020,1,1001,4,110,46,102,189,554
AGalaxyNextDoor,2023,1,11544,4.7,135,172,539,1.4,9.3
AGirl\u0026HerGuardDog,2023,1,6498,4,1.1,204,330,516,4.3
AHerbivorousDragonof5,2023,1,4752,4.2,475,135,302,852,3
APlaceFurtherThantheUniverse,2018,1,4792,4.8,65,28,74,296,4.3
APlaythroughofaCertainDude'sVRMMOLife,2023,1,7295,4.5,374,245,476,786,5.4
AReturner'sMagicShouldBeSpecial,2023,1,9698,4.8,166,89,241,671,8.5
ASister'sAllYouNeed.,2017,1,3391,4.4,232,79,211,600,2.3
ATalkonTitan,2018,1,224,1.5,185,7,9,2,21
A3!,2022,2,439,4.3,29,21,35,64,290
ABCieeWorkingDiary,2021,1,120,3.5,22,7,23,22,46
AbsoluteDuo,2015,1,4152,4.3,132,157,410,950,2.5
AceAttorney,2016,2,2713,4.3,183,101,178,442,1.8
AceoftheDiamond,2013,3,5267,4.8,81,33,77,295,4.8
ActiveRaid,2016,2,253,3.3,50,28,42,57,76
Actors:SongsConnection,2022,1,202,4,19,15,31,28,109
AdachiandShimamura,2022,1,3047,4.5,96,59,190,470,2.2
AfricaSalaryman,2022,1,204,3.6,37,16,24,33,94
AfterSchoolDiceClub,2022,1,709,4.5,16,22,35,161,475
After-schoolHanako-kun,2023,1,3081,4.8,94,37,60,131,2.8
AFTERLOST,2022,1,393,3.9,36,31,45,94,187
Aharen-sanwaHakarenai,2022,1,21431,4.7,374,250,872,2.5,17.4
AhirunoSora,2019,1,3791,4.5,151,62,191,619,2.8
AHO-GIRL,2017,1,3449,4.4,134,96,272,688,2.3
Ai-Mai-Mi,2012,1,174,3.3,40,19,31,16,68
Ai-Mai-MiMousouCatastrophe,2014,1,96,3.3,22,7,23,7,37
Ai-Mai-MiSurgicalFriends,2017,1,212,2.8,91,11,34,10,66
AirMaster,2009,1,1362,4.3,87,41,122,294,818
AIURA,2013,1,291,4.2,9,16,40,59,167
Akagi(Drama),2015,1,136,3,54,9,8,17,48
